code,title,description,credits,department,level,prereqs
ARCH 5044G,Professional Practice,"Introduction to scope and diversity of the building enterprise, addressing private and public macroeconomic, industrial, technical, professional, and regulatory institutions. Analysis of historic evaluation of professional roles and practices; emergence of new modes of practice, including innovative facilities procurement methods. Pre-requisite: Graduate Standing required.",3,Architecture,5000,
ARCH 5045,Environmental Design Research,"Methods for identifying, evaluating, and enhancing the knowledge base for design decisions at scales ranging from room to region. Course emphasizes analytic and empirical approaches to characterizing attributes of the physical environments and their transformation into design variables. Sources of emerging knowledge and systems for maintaining technical currency are identified. Bachelors Degree in Environmental Design (B.S. Arch, B. Arch, B.L. Arch) required.",3,Architecture,5000,
ARCH 5056,Advanced Building Structures,"Study of building forms and structure systems ranging from horizontal-span structures to skyscrapers; preliminary design of masonry buildings, skeletons, tubes, soft and rigid surface structures by considering the complexity of load action that includes wind, seismic, and hidden loads.",3,Architecture,5000,ARCH 4775 and ARCH 4776
ARCH 5064,Topics in Computer Applications in Design,Computer system fundamentals. Introduction to programming. Emphasis on computer graphics in 2 and 3-space geometry and graphics-related topics employing several languages. Computer usage in architectural design and production. Exploration of available hard and software through advanced design issues. May be repeated for a maximum of 12 credit hours with different content or topics.,3,Architecture,5000,ARCH 4716
ARCH 5115,Media and the Environment Workshop,"The role of various media of visual communication as tools of documentation, analysis, and creation in the designed visual environment. Skills in photography, film, video techniques, and printmaking graphics will be developed in specific relation to environmental design study and presentation.",3,Architecture,5000,
ARCH 5116,Media and the Environment Workshop,"The role of various media of visual communication as tools of documentation, analysis, and creation in the designed visual environment. Skills in photography, film, video techniques, and printmaking graphics will be developed in specific relation to environmental design study and presentation.",3,Architecture,5000,
ARCH 5125,Materials Processes Workshop,"Characteristics, properties, and uses of various materials and processes as tools of study, analysis, and presentation of the designed environment. The proportion, form, and sectional analysis of hand, wheel, and cast objects are studied. Uses of these materials and the technical process involved are emphasized. Workshop provides framework for design of small scale objects which can relate to environmental design and larger urban scale issues.",3,Architecture,5000,
ARCH 5126,Materials Processes Workshop,"Characteristics, properties, and uses of various materials and processes as tools of study, analysis, and presentation of the designed environment. The proportion, form, and sectional analysis of hand, wheel, and cast objects are studied. Uses of these materials and the technical process involved are emphasized. Workshop provides framework for design of small scale objects which can relate to environmental design and larger urban scale issues.",3,Architecture,5000,
ARCH 5134,Topics in Architecture History and Theory,"Study and critical evaluation of selected current and historical issues in architecture and environmental design. Materials studied will be in the form of projects and writings of key designers, interpretations by leading critics and analysis by historians. Topics will be selected from such areas as: theories of change in culture and architecture; concepts of expression, image, symbol, and form; problems of functional, rational, and social analysis; perception of space and organization. May be repeated for a maximum of 12 credit hours in varied options offered.",3,Architecture,5000,
ARCH 5434,Advanced Architectural Lighting Design,"Advanced level lecture course focused on lighting. Impact on, need for and measurement of light for humans and the built environment. Selection of light sources, equipment and controls. Daylight integration. Lighting design, visualization and calculations through hand and digital methods for multi-functional and multi-user indoor and outdoor spaces. Evaluation of lighting system energy efficiency and cost. Presentation of lighting design Pre: Graduate Standing.",3,Architecture,5000,
ARCH 5515,Arch & Systems Lab,"Architecture design laboratory with concentration on development of intellectual and professional skills of analysis, synthesis, and evaluation in design problem solving. Focus on the interrelatedness of the various components of building structure and enclosure, integration of building environmental controls, and the contribution of materials and methods of construction to the design process.",6,Architecture,5000,ARCH 4716
ARCH 5516,Arch & Systems Lab,"Architecture design laboratory with concentration on development of intellectual and professional skills of analysis, synthesis, and evaluation in design problem solving. Focus on the interrelatedness of the various components of building structure and enclosure, integration of building environmental controls, and the contribution of materials and methods of construction to the design process.",6,Architecture,5000,ARCH 4716
ARCH 5565,Building Materials and Construction,"Building materials, elements, and construction methods, including wood, masonry, concrete, and steel construction, building foundations and sitework, building and zoning codes, building cost considerations, interior finishes, and building envelope systems, including cladding, windows and window walls, curtain walls, roofing, and insulation; emphasis on knowledge of building materials and construction methods in support of architectural design decisions; historical development of building materials and ways of building, standard building practice, and analysis of the construction of significant works of architecture. Graduate standing required.",3,Architecture,5000,
ARCH 5566,Building Materials and Construction,"Building materials, elements, and construction methods, including wood, masonry, concrete, and steel construction, building foundations and sitework, building and zoning codes, building cost considerations, interior finishes, and building envelope systems, including cladding, windows and window walls, curtain walls, roofing, and insulation emphasis on knowledge of building materials and construction methods in support of architectural design decisions; historical development of building materials and ways of building, standard building practice, and analysis of the construction of significant works of architecture. Graduate standing required.",3,Architecture,5000,
ARCH 5614,Theory of Urban Form,"Urban forms related to functions; analysis of socioeconomic, political, historical, geographic, and cultural forces influencing urban form. Concepts of idealized urban forms and theoretical models of urban configuration.",3,Architecture,5000,ARCH 4705
ARCH 5624,Urban Design Seminar,"Current topics in urban design. Topics may include: theoretical, conceptual and practical concerns in the generation of urban spatial form; the roles of public and private interests in shaping urban form; the effects of urban intensification on the quality of public spaces; environmental issues in urban design; the role of public policy and regulatory mechanisms; the genesis and development of urban typologies. Each seminar will address one of these or related subject areas. Course may be repeated with a different subject for a maximum of 12 credits.",1,Architecture,5000,ARCH 5614
ARCH 5644,Comparative Urbanism Seminar,"Explores current issues, situations, and developments in diverse urban settlements across cultures. Direct experience of selected cities will be supported by contemporary and historic readings, maps and drawings to illuminate differential technological, environmental, economic, social and cultural forces shaping subject cities. Research methods applicable to urban design will be discussed. Choice of cities and areas of focus will be determined by students based on their thesis research proposals. Pre: Graduate standing.",3,Architecture,5000,
ARCH 5705,Architecture and Urbanism Seminar,Review of contemporary concepts in architectural design in the context of the urban environment. Significant architectural works of the twentieth century and the theories of their authors will be studied for an understanding of their contribution to the language of architecture. The attitudes and phenomena which have led to the making of the particular culture of our time will be studied for their impact on the built urban environment.,3,Architecture,5000,ARCH 5516
ARCH 5706,Architecture and Urbanism Seminar,Review of contemporary concepts in architectural design in the context of the urban environment. Significant architectural works of the twentieth century and the theories of their authors will be studied for an understanding of their contribution to the language of architecture. The attitudes and phenomena which have led to the making of the particular culture of our time will be studied for their impact on the built urban environment.,3,Architecture,5000,ARCH 5516
ARCH 5715,Architecture and Urbanism Laboratory,"Advanced design laboratory for identifying needs, resources and operational methodologies across an expanded range of environmental scales. The scope of design includes the relation of the individual building to the environment in comprehensive terms, with particular emphasis on the complexity which exists at the urban scale. Methods for the identification of socio-cultural needs and the coordination of complex variables, information, and resources, leading to the conceptualization and development of design of the components of the built environment.",6,Architecture,5000,
ARCH 5716,Architecture and Urbanism Laboratory,"Advanced design laboratory for identifying needs, resources and operational methodologies across an expanded range of environmental scales. The scope of design includes the relation of the individual building to the environment in comprehensive terms, with particular emphasis on the complexity which exists at the urban scale. Methods for the identification of socio-cultural needs and the coordination of complex variables, information, and resources, leading to the conceptualization and development of design of the components of the built environment.",6,Architecture,5000,
ARCH 5755,Advanced Design Laboratory,"Complex environmental design problems related to social, cultural, and historical issues examined for contribution to developing appropriate architectural form and aesthetic. Laboratory will focus on research and development of graduate design projects at a range of scales: product, architectural, urban; based on individual interests.",1,Architecture,5000,ARCH 4716
ARCH 5755G,Building Environmental Systems,"A design oriented study of environmental forces, environmental impacts of the built environment, and related building environmental control, life safety and service systems, with concern for the human psycho-physical impacts of building form and system performance. Prerequisite: Graduate Standing required.",3,Architecture,5000,ARCH 4706
ARCH 5756,Advanced Design Laboratory,"Complex environmental design problems related to social, cultural, and historical issues examined for contribution to developing appropriate architectural form and aesthetic. Laboratory will focus on research and development of graduate design projects at a range of scales: product, architectural, urban; based on individual interests.",1,Architecture,5000,ARCH 4716
ARCH 5775G,Intermediate Bldg Structures,"Building structures in steel, timber and reinforced concrete; design of typical components: beams, slabs, columns, beam-columns, connections, and foundations: design of retaining walls; the resistance of buildings to gravity and lateral force action; building stability; floor/roof framing systems; design of simple buildings. Pre-requisite: Graduate Standing required",3,Architecture,5000,ESM 3704
ARCH 5776G,Intermediate Bldg Systems,"Building structures in steel, timber and reinforced concrete; design of typical components; beams, slabs, columns, beam-columns, connections, and foundations; design of retaining walls; the resistance of buildings to gravity and lateral force action; building stability; floor/roof framing systems; design of simple buildings. Pre-requisite: Graduate Standing required.",3,Architecture,5000,ESM 3704
ARCH 5944,Consortium Studies in Arch,"International consortium of Schools of Architecture. Students are provided an academic environment utilizing the Washington D.C. metropolitan area as an educational laboratory for pursuit of architecture, landscape architecture, and urban affairs and planning. Approval for participation required by host school and by Virginia Tech. Pre: Graduate standing.",1,Architecture,5000,
ARCH 6005,Movements in Architecture and Western Thought,Platform for advanced studies in the historic and canonic evidence of the objective reality of architecture. Establishes a basis on which an emerging designer can build for future work and inquiry. Pre-requisite: Graduate Standing required.,3,Architecture,6000,
ARCH 6006,Movements in Architecture and Western Thought,Platform for advanced studies in the historic and canonic evidence of the objective reality of architecture. Establishes a basic on which an emerging designer can build for future work and inquiry. Pre-requisite: Graduate Standing required,3,Architecture,6000,
ART 1004,Topics in Studio Art for Non-Majors,"Variable introductory topics on practice-based studio art, ranging from 2D, 3D and Digital Imaging concentrations. Multiple projects with emphasis on media specific creations using introductory studio practices, practice-based technical and conceptual knowledge to achieve expressive communication. Analyze and critique creative works within historical and cultural context. May be repeated with different topics, for a maximum of 12 credit hours. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). COURSE FEE: $60.",3,Art and Art History,1000,
ART 1014,History of Things: The Secret Life of Objects,"Introduction to the material culture of art and design in contexts of connections people have to ""things"" both historically and today. Methods for understanding collecting, possession, and display, from acquisition to hoarding through channels of global trade and consumerism. Formal, material, and design elements of material objects. Considers fundamental human drive to acquire objects in cultural contexts.",3,Art and Art History,1000,
ART 1104,Language of Visual Arts,"Introduces key formal structures across the broad variety of disciplines in the visual arts and built environment, including: architecture, painting, sculpture, photography, and film. Considers global objects and sites from an intercultural perspective, examining how various formal elements impact our experience and function to construct meaning for audiences. Writing informed arts criticism grounded in local and regional cultural resources. RESOURCE CHARGE.",3,Art and Art History,1000,
ART 1204,Principles of 2D Art and Design,"Elements and methods fundamental to two-dimensional art and design. Investigates formal elements and principles of two-dimensional design including shape, color, balance, rhythm, hierarchy, and unity. Exploration of analog and digital strategies in image making through iterative, hands-on processes. Interpretation of historical and contemporary two-dimensional art and design from around the globe to discover communication strategies in an intercultural context. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)",3,Art and Art History,1000,
ART 1214,Principles of 3D Art and Design,"Elements and methods fundamental to three-dimensional art and design. Investigates formal elements and principles of three-dimensional design including line, plane, form, mass, space, scale and surface. Exploration of analog and digital strategies in three-dimensional object making through iterative, hands-on processes. Interpretation of historical and contemporary three-dimensional art and design from around the globe to discover communication strategies in an intercultural context. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)",3,Art and Art History,1000,
ART 1234,Topics in Visual Communication Design for Non-Majors,"Variable introductory topics on visual communication design, ranging from contemporary issues in design to development of formal design skills. Multiple projects with emphasis on problem-solving with an awareness of target audiences from various backgrounds, historical and cultural contexts, and STEEP (Social, Technological, Economical, Environmental, and Political) principles. Explores knowledge of design principles and vocabulary using a range of materials and methodologies. Examines needs of diverse users, applied via digital translations and appropriate software. May be repeated for up to a maximum of 12 credit hours with varying or different topics. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C).",3,Art and Art History,1000,
ART 1304,Gateway to Art and Design,First Year Experience course for students seeking entry into BFA degree program. Developing a successful path of study in the School of Visual Arts BFA degree using advising resources; introduction to professional and ethical visual arts practices through presentations with local and regional artists; visits to local and regional galleries; presentations by university faculty and staff related to the BFA. Introduction to visual thinking using the Virginia Tech Common Book and preparation for portfolio review. Art History majors are not required to take the course.,1,Art and Art History,1000,
ART 1334,Themes in Visual Arts and Cultures,"Introduction to thematic topics spanning historical and contemporary world cultures through the lens of the visual arts and material culture. Ten themes to be addressed each semester, each approached through a range of different periods, cultures, media, and artistic traditions, and complemented by culture-specific textual sources. Sample themes might include art and political propaganda, art and technology, art and sustainability, art and death, etc. Does not count towards the art history major.",3,Art and Art History,1000,
ART 1404,Principles of Drawing,"Elements, methods and skills fundamental to drawing. Investigates formal elements fundamental to drawing such as line, space, form, value and texture, through drawing tools and methods. Emphasis on controlled use of common drawing media for representational and expressive purposes. Examination of multiple intercultural viewpoints through exercises and discussion investigating topics that vary by semester. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)",3,Art and Art History,1000,
ART 1414,Drawing II: Life Drawing,"Drawing the human figure from life. Emphasis on observation, construction, and anatomy. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE.",3,Art and Art History,1000,ART 1404 and ART 1204 and ART 1604
ART 1504,Contemporary Art and Practice,"Methods and practices fundamental to the making of contemporary visual art. Non-discipline-specific investigation of self-expression, meaning, and content through iterative, practice-based exercises. Development of personal artistic practice through the lens of contemporary art and its historical precedents. Exploration of various processes such as representation, abstraction, assemblage, performance, installation, mark making, digital, and time-based, or interactive experiences as means to self-expression and interpretation of meaning. Examination of multiple worldviews and global challenges addressed in contemporary art. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). (1H, 5L, 3C)",3,Art and Art History,1000,
ART 1604,Principles of 4D Art & Design,"Elements and methods fundamental to digital art and design as well as time-based media. Investigation of formal elements specific to four-dimensional design including time, motion, and sound and skills sets in vector and raster graphics and video editing. Exploration of iterative process in digital image making. Interpretation of historical and contemporary digital art and time-based media from around the globe to discover communication strategies in an intercultural context. Examination of multiple worldviews and global challenges addressed in and relevant to digital art and time-based media such as surveillance and questions of privacy. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H, 5L, 3C)",3,Art and Art History,1000,
ART 1614,Principles of Visual Communication Design,"Introduction to design theory, practice, and visual communication skills. Projects, applied problem solving, reading assignments, and open critiques incorporate graphic competencies and vocabulary specific to the field of visual communication design. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C).",3,Art and Art History,1000,
ART 2004,Art Crimes,"Art historical analysis of art crimes and ethical dilemmas throughout history in cultural contexts, with a focus on the 20th and 21st century. Thefts, forgeries, frauds, fakes, looting, ransom, and terrorism, as well as what is lost when cultural heritage is damaged or destroyed. Explores museum issues and the design, forensic, conservation, ethical, cultural and legal means of addressing these problems.",3,Art and Art History,2000,
ART 2385,Survey of the History of Western Art,"Survey of the visual arts and architecture from prehistoric times to the present day with emphasis on Western Europe including functions of visual arts and architecture, terms of visual literacy and methods of formal visual analysis. 2385: Focus on prehistoric time to the thirteenth century including Paleolithic, Neolithic, Ancient Near Eastern, Egyptian, Aegean, Greek, Roman, Byzantine, medieval and early Gothic art. 2386: Focus on late Gothic through present day including Renaissance, Baroque, 19th (Romanticism to Post-Impressionism) and 20th centuries (cubism to postmodernism).",3,Art and Art History,2000,
ART 2386,Survey of the History of Western Art,"Survey of the visual arts and architecture from prehistoric times to the present day with emphasis on Western Europe including functions of visual arts and architecture, terms of visual literacy and methods of formal visual analysis. 2385: Focus on prehistoric time to the thirteenth century including Paleolithic, Neolithic, Ancient Near Eastern, Egyptian, Aegean, Greek, Roman, Byzantine, medieval and early Gothic art. 2386: Focus on late Gothic through present day including Renaissance, Baroque, 19th (Romanticism to Post-Impressionism) and 20th centuries (cubism to postmodernism).",3,Art and Art History,2000,
ART 2434,Introduction to Creative Code,"Introduction to computer programming tools within a critical aesthetic context. Tools may include software such as Processing and Unity. Application of foundational programming techniques to artwork creation. Consideration of computational and quantitative technologies and processes ethically, culturally, and artistically. Algorithmic thinking, and examination of existing computer-generated artworks to infer algorithmic basis. Consideration of the ethics of algorithmic systems in our culture and media. Course contact to credit hour structure: Design Lab/Studio.",3,Art and Art History,2000,ART 1604
ART 2514,Drawing Concepts,"Exploration of drawing practices that reflect expansions in the discipline through examination of the work of contemporary artists and discussion of recent historical precedents. Examination of multiple viewpoints through readings and discussion investigating notions of identity, culture, and social reality. Development of personalized visual language and content through iterative drawing processes. Application of formal analysis and interpretive strategies through critique. Includes traditional and experimental techniques; representational, abstract, and nonobjective approaches to drawing. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab Studio (2L,1C). RESOURCE CHARGE.",3,Art and Art History,2000,ART 1404
ART 2524,Introduction To Painting,"Exploration of painting practices within a studio-focused environment as they relate to art and design in contemporary culture as well as historical methods. Development of foundational painting skills and an understanding of various painting media. Deliberate practice of visual language and formal ideas using painting media with a focus on material, line, shape, color, and two-dimensional composition. Interpretation of visual culture through the application of critical analysis methods. Encompasses observation-based techniques, experimental processes, and abstract approaches. Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE: $75",3,Art and Art History,2000,ART 1204 or ART 1404 or ART 1414
ART 2554,Introduction To Sculpture,"Introduction to the tools, techniques, and concepts of sculpture. Development of visual style, three-dimensional composition and communication through iterative assignments. Application of formal analysis and interpretive strategies through critique. Exploration of genres and practices of sculpture by analyzing contemporary examples and historical precedents. Examination of diverse viewpoints through readings and discussions on the role of sculpture in identity, culture, and politics. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE.",3,Art and Art History,2000,ART 1214
ART 2565,Typography,"Foundational study of Typography as it relates to Visual Communication Design including historical and contemporary context. Study of the formal principles of typographic design of both printed and digital matter. Overall focus on letterforms, design structures, and grid systems. Pre: Admittance to Visual Communication Design Program. 2566: Intermediate study of Typography as it relates to Visual Communication Design including advanced file management used with a variety of projects involving Typographic Composition. Pre: 2565. 2565: I, II. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C).",3,Art and Art History,2000,
ART 2566,Typography,"Intermediate study of Typography as it relates to Visual Communication Design including advanced file management used with a variety of projects involving Typographic Composition. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C).",3,Art and Art History,2000,ART 1614 and ART 2565
ART 2566H,Typography,Intermediate study of Typography as it relates to Visual Communication Design including advanced file management used with a variety of projects involving Typographic Composition.,3,Art and Art History,2000,
ART 2575,Introduction to Graphic Design,"Introduction to the theory and practice of graphic design as a means of visual communication, exploring problem-solving as applied to design concepts and execution. Studio assignments relating to society, industry, community, and commerce, with emphasis on digital/electronic applications. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE.",3,Art and Art History,2000,ART 1614 and ART 2565
ART 2576,Introduction to Graphic Design,"Introduction to the theory and practice of graphic design as a means of visual communication, exploring problem-solving as applied to design concepts and execution. Studio assignments relating to society, industry, community, and commerce, with emphasis on digital/electronic applications. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE.",3,Art and Art History,2000,ART 1614 and ART 2565 and ART 2566 and ART 2575
ART 2604,Introduction to Creative Technologies,"Introduction to the formal elements, skills, tools and methods of productions used in Creative Technologies to make art/media works. These art works/media works include: sound, video narratives/short films, 2D animation, code/procedural artworks that exhibit meaning and relevance to contemporary society. Integrate, articulate and defend positions on ethical issues to make work that is relevant to the world we live in. Design Lab/Studio.",3,Art and Art History,2000,ART 1604
ART 2664,Introduction to Photography,"Introduction to the tools, techniques, and concepts of digital photography. Development of visual style, two-dimensional composition, and visual communication through iterative assignments. Application of formal analysis and intercultural interpretation of photographs through class critique as well as historical and contemporary examples. Examination of diverse viewpoints through readings and discussions on the role of photography in identity, culture, and politics. Course contact hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE.",3,Art and Art History,2000,ART 1204 or ART 1604
ART 2704,3D Computer Animation,"ntroduction to the basic principles of 3d-computer animation including modeling, texture mapping, lighting, and motion. Course contact to credit hour structure: Design Lab/Studio (5L, 3C) RESOURCE CHARGE.",3,Art and Art History,2000,ART 1604
ART 2804,Introduction to Game Development,"Introduction to game development using contemporary video game engines. Focus on in-engine tools and pipelines. Process includes importing and transforming 3D digital models and constructing landscapes, grayboxing, scripted mechanics, lighting, textures and materials, and producing a character with an animation tree, timeline, animation, and motion controls, and a user interface. Outcomes include evaluating games through playtesting and creating simple but playable game levels through iterative process. Design Lab/Studio.",3,Art and Art History,2000,ART 1604 and ART 2434
ART 3004,Topics in Art History,"Rotating topics from all periods of art history with a particular emphasis on non-Western art, such as Japanese, Chinese, pre-Columbian, sub-Saharan, Native American, or Islamic art and architecture. Lecture and/or undergraduate seminar format. May be repeated for credit with different content for a maximum of 9 credits.",3,Art and Art History,3000,ART 2385 or ART 2386
ART 3024,History of Global Print Culture,"Global print culture with an emphasis on visual arts and design forms across geographies in cultural contexts. Compares diverse print cultures from their inceptions through today, across historical traditions of East Asia, Mexico, United States, the Islamic world, and Europe. History, social meaning, issues of equity, race, and identity. Print culture’s inception through today connects contemporary digital world to its conceptual and material origins.",3,Art and Art History,3000,
ART 3034,Survey of Latin American Art and Architecture,"A broad chronological survey of the visual arts and architecture of Latin America with a focus on South, Central, and North America from the rise of ancient indigenous cultures through today. Pre-Columbian iconography, styles, and cultural contexts of Olmec, Inca, Maya, and Aztec societies. European contact and colonial influence in South and Central Americas of the New World. Modern and contemporary art in these regions, with an emphasis on Latinx diaspora visual culture in the United States.",3,Art and Art History,3000,
ART 3044,Art and Architecture of India,"Survey of the arts, architecture, and contributions to design history from the subcontinent of India. Iconography and visual elements of Jain, Hindu, Buddhist, Islamic, and Sikh traditions in terms of key works of art, architecture, and design. Interpreted within contexts of religion, historical events, social status, patronage, race, and colonialism. Considers the influence of India’s art, architecture, and design histories from antiquity through diasporas today, including US South Asian communities.",3,Art and Art History,3000,
ART 3054,Islamic Art and Architecture,"Survey of the visual arts and material culture produced in Islamic cultures from its origins in the 7th century CE (Common Era) through the contemporary period. Focus on analyzing transnational exchanges and influences that shape the visual and material culture of Islamic regions including architecture, the graphic arts, painting, ceramics, and textiles within cultural, geographic, political, and religious contexts. Includes artifacts and architecture from Iraq, Iran, the Arabian Peninsula, Egypt, Turkey, India, Spain and notable sites from North Africa and Central Asia.",3,Art and Art History,3000,
ART 3064,Arts of China and Japan,"An introduction to Chinese and Japanese art from the Neolithic to the present. The influence of philosophy, religion and social organizations on the development of the visual arts in China and Japan. Considers a range of media including painting, sculpture, calligraphy, ceramics, prints, and architecture in contexts of Imperial and post-Imperial patronage.",3,Art and Art History,3000,
ART 3074,Egyptian Art and Architecture,"Introduction to Egyptian art and architecture from the Predynastic through the Late Period with emphasis on the major monuments of Egyptian sculpture, painting and architecture. Emphasis on Egyptian art in the context of the unique landscape of the Nile River and surrounding desert, the art of contemporary cultures in the eastern Mediterranean world, and the history of archaeological exploration within the region.",3,Art and Art History,3000,
ART 3084,Greek Art and Architecture,"Art of ancient Greece from the Bronze Age through Hellenistic stylistic periods. Architectural monuments, sculpture, ceramics, and the material culture of everyday life. Art’s connection to larger socio-political and historical conditions of the Greek world. Impact of archaeological contexts on the understanding of Greek art and material culture.",3,Art and Art History,3000,
ART 3104,Art & Visual Culture of Japan: Samurai to Kawaii,"Visual culture in Japan from the Edo period (1615-1868) through today. Evolution of media and technology in promoting new visual culture themes, design, and styles in prints, painting, photography, graphic arts, film, animation, games, and digital media. Visual forms, design elements, and cultural contexts of widespread themes in art including samurai, ghosts and demons, legends and heroes, monsters and magical creatures, kawaii and other subjects specific to the visual culture of Japan.",3,Art and Art History,3000,
ART 3114,Creative Coding for Creativity and Innovation,"Introduction to computer programming tools within a critical aesthetic context. Creation and analysis of generative and algorithmic artwork as well as consideration of how works derived from logical rulesets, algorithms, and the artful application of randomness can communicate human feelings and ideas. Consideration of ethics of algorithmic systems in our culture and media, and creating art works to address those issues and influence opinion. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C).",3,Art and Art History,3000,
ART 3174,Introduction to Archaeology,"Introduction to archaeology focusing on a history of the discipline of archaeology with an emphasis on Mesopotamia and the Mediterranean world. Evolution of field inquiry and techniques in the context of major historical personages and excavations in Egypt, Greece, Italy and Syro-Palestine, as well as contemporary global and ethical issues surrounding the preservation and protection of archaeological artifacts, particularly with regards to the role they serve and their use and misuse as non-renewable global objects of cultural heritage and cultural identity.",3,Art and Art History,3000,
ART 3184,Roman Art and Architecture,"Survey of Roman art including painting, sculpture and architecture from ca. 750 BCE to 350 CE. Emphasis on diverse artistic themes connecting visual and material culture with contemporary political and cultural circumstances and the impact of Roman imperial expansion on regional cultures. Historical impact of Roman artistic achievements and activities.",3,Art and Art History,3000,
ART 3284,Medieval Art and Architecture,"Artistic traditions of the medieval world from the fourth to fifteenth centuries with a focus on diverse cultural exchanges between Byzantine east and Latin west, along with Islamic contact. Stylistic, thematic, and formal developments in sculpture, painting, textiles, metalwork, architecture, book arts within social, political, and religious contexts.",3,Art and Art History,3000,
ART 3384,Renaissance Art and Architecture,"A chronological survey of Renaissance art analyzing painting, sculpture, the graphic arts, and architecture. Develops visual literacy through an evaluation of major stylistic and thematic trends within the study of historical context, artistic techniques and processes, iconography, patronage, economy, religion, political structures, and emerging sciences.",3,Art and Art History,3000,
ART 3484,Baroque and Rococo Art and Architecture,"Art and architecture of the seventeenth-century Baroque and eighteenth-century Rococo with with an emphasis on form, style, and cultural contexts for painting, sculpture, and architecture. A study of major artists, themes, styles, and technical artistic processes in Italy, Spain, Flanders, Holland, England, France in contexts of global expansion. Seventeenth-century visual culture in its historical, religious, economic, social, and ethical contexts.",3,Art and Art History,3000,
ART 3504,Topics in Digital Art and Design,"Rotating topics that explore the computer as an artistic medium and design tool. Intermediate level. The student will encounter as interdisciplinary approach to the use of the computer, as aesthetic ideas are presented and various digital techniques are applied. Stresses use and manipulation of original images created by the student, employing a combination of digital and traditional methods. May be repeated with different content for a maximum of 12 credits. Course contact to credit hour structure: Design Lab/Studio (5L, 3C) Resource Charge.",3,Art and Art History,3000,ART 2604
ART 3514,Topics In Drawing,"Rotating topics in drawing media, approaches, and theories. All topics will be devoted to promoting individual student creativity, mastery of drawing means and techniques, and further understanding of graphic concerns. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). May be repeated for a maximum of 9 hours with different topics. RESOURCE CHARGE.",3,Art and Art History,3000,ART 2514
ART 3524,Topics In Painting Media,"Rotating topics in painting techniques, disciplines, and theory emphasizing individual creative development and skilled approaches to technical problem-solving in visual art and design. Intermediate level. May be repeated for a maximum of 12 credits. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C).",3,Art and Art History,3000,ART 2524
ART 3554,Topics In Sculpture,"Rotating topics that will focus on specific technical processes and applications of three dimensional problem solving in the visual arts. The course will stress techniques and issues found in contemporary 3D art and design. Emphasizes intensive studio practice through a series of individual projects related to the topics. FEES REQUIRED. May be repeated for a maximum of 12 credits. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C).",3,Art and Art History,3000,ART 2554
ART 3564,Topics in Photography,"Rotating topics in photographic materials, methods and philosophies. All topics promote individual students creativity, master of photographic techniques and further understanding of the medium. May be repeated with different topics for a maximum of 12 credits. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE.",3,Art and Art History,3000,ART 2664
