code,title,description,credits,department,level,prereqs
HIST 3564,The Cold War,"Examines politics, society, and culture of the Cold War in transnational perspective. Discussion of origins of the Cold War and the emergence of superpowers; cultural, economic and territorial imperialism in the Cold War; the role of ideology; lived experience and the legacy of the Cold War. Engagement with diverse perspectives on the Cold War and its implications through primary and secondary source materials.",3,History,3000,
HIST 3594,The Rise of Modern Latin America,"Major themes and issues in Modern Latin American History. Discussion of the rise of Latin American nations, stressing the internal and external challenges new republics confronted during the nineteenth century and the opportunities and conflicts of the twentieth century.",3,History,3000,
HIST 3604,Russia to Peter the Great,"Russian history from the founding of Russia in the ninth century to the reign of Peter the Great in the early eighteenth century, with special attention to political developments, changes in society and culture and regional context.",3,History,3000,
HIST 3614,Imperial Russia,"Russian history from Peter the Great to the Revolution of 1917, with special attention to political developments, changes in society and culture, and the impact of the regional context.",3,History,3000,
HIST 3624,Health and Illness in African History,"Examines key subjects and themes in the history of health, medicine, and disease in African history. Topics include indigenous health systems, colonial medicine, and post-colonial health crises, including HIV/AIDS.",3,History,3000,
HIST 3644,Twentieth-Century Russia,"The history of the Soviet Union from 1917 to the present, with particular emphasis on collectivization, industrialization, ideology, international relations, and other factors that have determined the peculiar character of the Soviet state.",3,History,3000,
HIST 3654,Arab-Israeli Conflict,"Examines the origin and evolution of the Arab-Israeli Conflict from the late Ottoman era to present. Considers a variety of perspectives on the major events, places, people and history of the conflict, including the British Mandate period, independence, and post-1967. Connects the relationship between events and ideas in Palestine/Israel and their local, regional and global significance through analysis and synthesis of primary and secondary texts. Promotes interpretation of the conflict and potential solutions in written and oral form, both from the student’s own and alternative points of view.",3,History,3000,
HIST 3664,Revolutionary China,Ideological and institutional development of the Chinese Communist movement since 1920; emphasis on problems of historical change in modern China.,3,History,3000,
HIST 3674,Topics in Chinese History,"Examination of variable topics in Chinese history, ranging from the beginnings of civilization to the recent past. Examines the primary sources and histriographic debates of a particular issue. Explores the diversity within China and its relatiionship with the rest of the world. Can be repeated with different content up to 9 hours.",3,History,3000,
HIST 3694,History through Film,"This course introduces students to critical issues in history and representation, utilizing film to analyze central historical issues. The specific thematic content is variable. Course may be repeated for up to 9 credits.",3,History,3000,
HIST 3705,History of Science,Conceptual and institutional development of physical and biological sciences viewed within a cultural and societal context. 3705: Early Science; 3706: Modern Science.,3,History,3000,
HIST 3706,History of Science,Conceptual and institutional development of physical and biological sciences viewed within a cultural and societal context. 3705: Early Science; 3706: Modern Science.,3,History,3000,
