major,college,catalog_year,requirement_group,course_code,course_title,credits,notes
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1226,Calculus of a Single Variable (5F),4,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 2214,Introduction to Differential Equations (5A),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ENGE 1215,Foundations of Engineering and Foundations of Engineering (6D),4,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 2004,Introduction to Biological Systems Engineering (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 2504,Introduction to Fluid Mechanics (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 3144,Engineering Analysis for Biological Systems using Numerical Methods (C-),2,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 3154,Thermodynamics of Biological Systems (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 3504,Transport Processes in Biological Systems (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 4125,Comprehensive Design Project (C-),2,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BIOL 2604,General Microbiology,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,ESM 2104,Statics,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,ISE 2014,Engineering Economy,2,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,BSE 4126,Comprehensive Design Project (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,BIOL 1105,Principles of Biology,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,BIOL 1106,Principles of Biology,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,CHEM 1036,General Chemistry,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,MATH 2114,Introduction to Linear Algebra,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,MATH 2204,Introduction to Multivariable Calculus,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,PHYS 2306,Foundations of Physics,4,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Major Requirements,STAT 3704,Statistics for Engineering Applications,2,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 2304,Landscape Measurements and Modeling (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 3324,Small Watershed Hydrology (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 3334,Nonpoint Source Pollution Assessment and Control (C-),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 4324,Applied Fluvial Geomorphology (C-) 1,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 4344,Geographic Information Systems for Engineers (C-) 1,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,BIOL 2804,Ecology,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,ENGR 3124,Introduction to Green Engineering,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,ENGR 4134,Environmental Life Cycle Assessment,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Option Required Courses,ENSC 3134,Soils in the Landscape,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Bridge Experience,ENGE 3900,Bridge Experience,0,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ISE 3034,Technical Communication for Engineers (1A),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,SBIO 1024,Systems Thinking in a Bioeconomy,3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,CHEM 1035,General Chemistry and General Chemistry Laboratory,4,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2305,Foundations of Physics,4,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F ; C-),4,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1226,Calculus of a Single Variable (5F),4,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 2214,Introduction to Differential Equations (5A),3,
Biological Systems Engineering Major with Ecological Engineering Option,College of Engineering,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ENGE 1215,Foundations of Engineering and Foundations of Engineering (6D),4,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 2014,Biomedical Engineering Professional Practice,1,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 2054,Electrical Principles for Biomedical Engineers,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 2074,Computational Methods in Biomedical Engineering,2,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 2104,Introduction to Biomedical Engineering,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 3024,BME Cell Engineering Laboratory and Design,2,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 3034,Bioinstrumentation Laboratory and Design for Living Systems,2,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 3184,Problem Solving in BME,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 3234,Foundations of Biotransport,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 4015,BME Senior Design and Project,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 4064,Introduction to Medical Physiology,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BMES 4134,"Global, Societal, and Ethical Considerations in Biomedical Engineering",3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BIOL 1105,Principles of Biology,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ESM 2104,Statics,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ESM 2204,Mechanics of Deformable Bodies,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ESM 2304,Dynamics,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MATH 2114,Introduction to Linear Algebra,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MATH 2204,Introduction to Multivariable Calculus,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MSE 2034,Elements of Materials Engineering,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,STAT 3615,Biological Statistics,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Additional Course Requirements,CHEM 1035,General Chemistry,3,
Biomedical Engineering Major,College of Engineering,2026-2027,Additional Course Requirements,CHEM 1045,General Chemistry Laboratory,1,
Biomedical Engineering Major,College of Engineering,2026-2027,Additional Course Requirements,ENGE 3900,Bridge Experience,0,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,BMES 4016,BME Senior Design and Project (1A),3,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2305,Foundations of Physics,4,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2306,Foundations of Physics,4,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F ; C-),4,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1226,Calculus of a Single Variable (5F),4,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 2214,Introduction to Differential Equations (5A),3,
Biomedical Engineering Major,College of Engineering,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ENGE 1215,Foundations of Engineering and Foundations of Engineering (6D),4,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 1114,Introduction to Building Construction,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 2004,Construction Surveying,1,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 2014,Construction Principles I,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 2024,Construction Principles II,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 2044,Construction Materials,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 2064,Integrated Construction I,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 3064,Integrated Construction II,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 3114,Building Systems Technology,3,
Building Construction Major,College of Engineering,2026-2027,Degree Core Requirements,BC 4064,Integrated Construction III,3,
